Date,Original Headline,Generated Headline,Keywords,Generated Summary
20160103,Big oil to cut investment again in 2016,Oil Majors Slash Investment and Borrow More to Protect Dividends Amid Prolonged Price Slump,"oil prices, investment cuts, dividends, borrowing, job losses","Global oil and gas companies are cutting investments, selling assets, and borrowing more to maintain dividends as crude prices hit 11-year lows, with further job losses and project delays expected in 2016. Despite cost reductions, the sector faces risks to future growth and may pursue acquisitions if prices stabilize."
20160103,Crude oil futures - weekly outlook: January 4 - 8,Oil Prices End Year Sharply Lower Amid Global Supply Glut,"oil prices, supply glut, OPEC, crude inventories, global markets","Oil prices closed the year with significant losses due to persistent oversupply, robust U.S. shale output, and OPEC's decision not to cut production, while markets anticipate key economic data releases in the coming week. Brent and U.S. crude both posted their second consecutive annual declines, with inventories near record highs."
20160103,Gold futures - weekly outlook: January 4 - 8,Gold Posts Third Consecutive Annual Loss as Fed Rate Hikes Strengthen Dollar,"gold, Federal Reserve, interest rates, dollar, economic data","Gold futures ended 2015 down nearly 11%, marking a third straight annual loss as Federal Reserve rate hikes boosted the dollar and weighed on the metal, with investors now eyeing upcoming global economic reports for market direction."
20160103,Gold gains in Asia as Saudi Arabia cuts diplomatic ties to Iran,Gold Rises Amid Saudi-Iran Tensions and Global Economic Data Releases,"Gold, Saudi-Iran, Geopolitical, Manufacturing, Fed","Gold prices rose in Asia as Saudi Arabia cut diplomatic ties with Iran, while investors also focused on upcoming global manufacturing data and U.S. economic reports. The move follows heightened geopolitical tensions and ongoing speculation about U.S. interest rate hikes."
20160103,"Gold prices hold gains on Middle East tension, copper down on Caixin",Gold Rises Amid Saudi-Iran Tensions as Copper Drops on Weak China Data,"gold, Saudi-Iran, copper, manufacturing, interest rates","Gold prices climbed in Asia following Saudi Arabia's decision to cut diplomatic ties with Iran, while copper fell sharply after weak Chinese manufacturing data; investors are also watching upcoming economic reports from the US, Europe, and Asia."
20160103,"NYMEX crude up in Asia, but off early sharp gains on Caixin","Oil Prices Retreat as China Manufacturing Slows, Middle East Tensions Rise","crude oil, China manufacturing, Middle East, supply glut, Iran","Crude oil prices fell after early gains as weak Chinese manufacturing data offset concerns over Saudi-Iran tensions, while global oversupply and high U.S. inventories continue to pressure the market. Investors are watching upcoming economic reports and oil supply data for further direction."
20160103,NYMEX crude up sharply as Saudi Arabia cuts diplomatic ties with Iran,Crude Oil Prices Rise as Saudi Arabia Cuts Diplomatic Ties with Iran Amid Tensions,"crude oil, Saudi Arabia, Iran, diplomatic tensions, supply glut","Crude oil prices climbed after Saudi Arabia severed diplomatic relations with Iran following embassy unrest, though the impact on oil supply remains limited amid ongoing global oversupply and high U.S. inventories. Investors are also watching upcoming economic data from China, Japan, the U.S., and Europe."
20160104,Copper slides 3% as China factory activity shrinks again in December,Copper Prices Slide as Weak Chinese Manufacturing Data Sparks Demand Concerns,"Copper, China, manufacturing, gold, Middle East","Copper prices dropped 2.8% after disappointing Chinese manufacturing data signaled weaker demand, while gold prices rose amid escalating Middle East tensions and a softer dollar. Investors are watching for further U.S. economic data to gauge future market direction."
20160104,Gold gains in Asia on continued risk aversion on Middle East tensions,Gold Edges Higher Amid Middle East Tensions and Weak China Manufacturing Data,"gold, Middle East, China, manufacturing, commodities","Gold prices rose slightly in Asia as investors sought safe havens amid escalating Middle East tensions and disappointing Chinese manufacturing data, while silver and copper also posted modest gains."
20160104,Gold kicks off 2016 with strong gains amid Saudi Arabia-Iran drama,Gold Surges as Middle East Tensions Rise and Weak Chinese Data Weighs on Copper,"gold, Middle East, copper, manufacturing, China","Gold prices jumped amid Saudi-Iran tensions and weak Chinese manufacturing data, while copper fell on concerns over China's economic slowdown and investors awaited key U.S. economic reports."
