Date,Original Headline,Generated Headline,Keywords,Generated Summary
20180101,Crude Oil Prices - Weekly Outlook: January 2 - 5,US Oil Prices Close Above $60 for First Time in Over Two Years as Global Inventories Decline,"oil prices, crude inventories, OPEC cuts, US production, global demand","US oil prices closed above $60 a barrel for the first time since 2015, driven by declining global inventories, OPEC-led output cuts, and strong demand, while US production saw a slight drop. Market participants are watching upcoming inventory and production reports for further direction."
20180101,Crude Oil Prices Dip In Early Asia with Iran Protests Closely Watched,US Crude Prices Slip as Investors Monitor Iran Unrest and Await Stockpile Data,"crude oil, Iran protests, stockpiles, OPEC cuts, oil prices","US crude prices dipped slightly in light New Year trading as investors watched unrest in Iran and awaited delayed US stockpile data, while global oil markets remained supported by falling inventories and ongoing OPEC-led output cuts."
20180101,Gold / Silver / Copper Prices - Weekly Outlook: January 2 - 5,Gold Hits Three-Month High as Weaker Dollar Caps Strong Year for Precious Metals,"gold, dollar, precious metals, Fed, economic data","Gold surged to a three-month high above $1,300 as a weaker dollar and geopolitical risks boosted demand, capping a 14% annual gain, while other metals like palladium and copper also posted strong yearly advances; upcoming economic data and Fed minutes are expected to influence markets in the week ahead."
20180101,Gold Dips In Asia In Light New Year Trade With Focus On Fed Minutes,Gold Eases in Light Asian Trade as Investors Await Fed Minutes,"gold, dollar, Fed minutes, monetary policy, safe haven","Gold prices dipped slightly in Asia amid thin trading with Tokyo markets closed, as investors await the release of the Federal Reserve's December meeting minutes for policy clues; a weaker dollar and geopolitical risks have recently supported gold, which posted its largest annual gain since 2010."
20180102,Crude Oil Gains In Asia As Geopolitical Tensions Stoke Markets,Oil Prices Edge Higher Amid Iran Protests and North Korea Tensions,"crude oil, Iran protests, North Korea, pipeline restart, US production","Crude oil prices rose slightly in Asia as geopolitical tensions in Iran and North Korea offset the impact of pipeline restarts in the North Sea and Libya, while analysts anticipate changes in US inventories and continued OPEC-led output cuts. Despite concerns over rising US production, market sentiment remains bullish due to ongoing supply cuts and strong global demand."
20180102,"Crude Oil Prices at Multi-Year Highs, Iran Protests Support",Oil Prices Reach Multi-Year Highs Amid Iran Unrest and Ongoing Supply Cuts,"crude oil, Iran, supply cuts, OPEC, prices",Crude oil prices hit their highest levels since 2015 as unrest in Iran raised concerns about supply disruptions and ongoing production cuts by OPEC and other producers continued to support the market.
20180102,Crude Oil Prices Pull Back but Remain Supported,Oil Prices Ease Slightly but Stay Near Multi-Year Highs Amid Iran Unrest and OPEC Cuts,"crude oil, Iran unrest, OPEC cuts, Brent, WTI","Crude oil prices dipped slightly from recent multi-year highs as unrest in Iran and ongoing OPEC-led supply cuts continued to support the market, with both Brent and WTI futures remaining elevated despite minor declines."
20180102,Gold Prices Gain In Asia As Geopolitical Tensions Aid Buying,Gold Prices Climb as Trump-Kim Nuclear Tensions Boost Safe-Haven Demand,"gold, Trump, North Korea, dollar, geopolitical","Gold prices rose in Asia following heightened nuclear tensions between the US and North Korea, with ongoing dollar weakness and increased bullish bets by traders pushing gold to three-month highs. The metal is on track for its longest winning streak since 1971, supported by geopolitical uncertainty and a weaker dollar."
20180102,Gold Prices Hit Fresh 3-Month Highs,Gold Hits Three-Month High as Weaker Dollar Boosts Precious Metals,"gold, dollar, precious metals, Fed minutes, copper","Gold prices reached a three-month high as a weaker dollar made the metal more attractive, while investors awaited key U.S. economic data and other metals saw mixed performance. Copper and palladium posted strong annual gains in 2017 due to robust demand and supply concerns."
20180102,Gold Prices Remain Supported on Weaker Dollar,Gold Prices Climb to Four-Month High as Weaker Dollar and Geopolitical Tensions Spur Demand,"gold, U.S. dollar, safe-haven, Fed minutes, Iran protests","Gold prices rose to their highest level since September as a weaker U.S. dollar and renewed geopolitical tensions increased safe-haven demand, while investors awaited key U.S. economic data and Fed meeting minutes."
20180102,Gold Prices Set To Notch Longest Winning Streak Since End of Gold Standard,Gold Prices Hit Three-Month Highs as Dollar Weakens and Geopolitical Tensions Rise,"gold, dollar, geopolitical, futures, commodities","Gold prices climbed to three-month highs, supported by a weaker U.S. dollar and increased geopolitical uncertainty, while bullish bets on gold rose and other commodities saw mixed movements."
