Date,Original Headline,Generated Headline,Keywords,Generated Summary
20170101,Crude Oil Futures - Weekly Outlook: January 2 - 6,Oil Futures End 2016 With Biggest Annual Gain Since 2009 After OPEC-Led Output Deal,"oil prices, OPEC deal, production cuts, U.S. shale, natural gas","Oil futures closed 2016 with their largest annual gains since 2009, driven by OPEC and non-OPEC agreements to cut output, though concerns remain over compliance and rising U.S. production. Natural gas and gasoline also posted their strongest yearly increases in years, while traders look ahead to upcoming inventory and production data."
20170101,Gold / Silver / Copper futures - weekly outlook: January 2 - 6,Gold Ends 2016 Up Nearly 10% Despite Year-End Slide; Palladium Leads Precious Metals Gains,"gold, interest rates, precious metals, Federal Reserve, market outlook","Gold prices finished 2016 with a nearly 10% gain after three years of declines, despite a late-year drop due to rising U.S. interest rates and a stronger dollar; palladium was the top-performing precious metal, while investors now look ahead to key economic data in the coming week."
20170101,NYMEX crude gains in holiday-thinned Asian trade,Oil Prices Edge Up in Asia as Markets Await OPEC Output Cut Review,"crude oil, OPEC, production cuts, Brent, Asia","U.S. crude oil prices rose slightly in Asian trading as investors awaited updates on OPEC and non-OPEC production cuts, with a key meeting in Kuwait scheduled later this month to assess compliance."
20170102,"Brent, NYMEX gain in Asia after Caixin China PMI supports",Oil Prices Rise on Strong China Manufacturing Data and Geopolitical Tensions,"crude oil, China PMI, OPEC, North Korea, production cuts","Crude oil prices climbed in Asia, supported by strong Chinese manufacturing data and heightened geopolitical tensions following President-elect Trump's comments on North Korea, while markets remain focused on OPEC production cuts and U.S. drilling activity."
20170102,"Copper jumps in Asia after Caixin data, gold up solidly on geopolitics",Gold and Copper Prices Rise on Strong Chinese Manufacturing Data and Geopolitical Tensions,"gold, copper, China, manufacturing, Trump","Gold and copper prices climbed as upbeat Chinese manufacturing data and heightened geopolitical tensions over North Korea boosted investor sentiment. Gold rose 0.49% and copper jumped 1.36%, while silver also gained, reflecting market reactions to economic and political developments."
20170102,"NYMEX crude gains in Asia with Caixin PMI survey awaited, Korea noted",Oil Prices Rise in Asia Amid China Manufacturing Data and OPEC Production Cut Focus,"crude oil, OPEC, China PMI, production cuts, U.S. shale","Crude oil prices climbed in Asia as investors awaited China manufacturing data and monitored OPEC-led production cuts, while concerns lingered over rising U.S. output and compliance with supply agreements. Brent and U.S. crude futures both posted strong annual gains in 2016, driven by the landmark OPEC deal to curb production."
20170102,Oil markets set to shift focus to output cut compliance in 2017,"Oil Prices Surge in 2016 Amid OPEC-Led Output Cuts, but Market Skepticism Remains","OPEC, oil prices, production cuts, Russia, U.S. shale","Oil prices soared nearly 50% in 2016 after OPEC and non-OPEC producers agreed to significant output cuts, but analysts remain skeptical about full compliance and warn that rising U.S. shale production could limit further gains. The first compliance meeting is set for late January, with market participants watching closely for signs of adherence to the deal."
20170102,Oil prices doubled during 2016,Oil and Gas Markets Show Investor Promise Amid Rising Prices and Shifting Global Dynamics,"oil prices, natural gas, Petrobras, Brazil, energy market","Oil prices have nearly doubled since last January, while natural gas inventories are falling and Brazil is attracting increased foreign investment as Petrobras raises its divestment target. These trends suggest promising opportunities for energy investors in 2017."
20170102,Russian oil output stays at record highs in December,Russian Oil Output Holds Steady at Near 30-Year High Ahead of Planned Cuts,"Russian oil, production, OPEC, output cut, energy ministry","Russia maintained oil production at 11.21 million barrels per day in December, the highest in nearly 30 years, as it prepares for gradual output cuts in line with an OPEC agreement."
20170103,Carbon emissions drop to lowest level in 25 years,US Carbon Emissions Fall to 25-Year Low Amid Mild Weather and Shift to Clean Energy,"carbon emissions, renewable energy, natural gas, turbine technology, coal consumption","US carbon emissions dropped to their lowest level since 1991 in the first half of 2016, driven by mild weather and a shift from coal to cleaner energy sources like natural gas and renewables, according to the Department of Energy. The increase in wind and other renewable energy sources contributed significantly to the decline."
