Date,Original Headline,Generated Headline,Keywords,Generated Summary
20150101,Iran says Saudi Arabia should move to curb oil price fall,"Iran Urges Saudi Arabia to Act on Oil Price Slump, Criticizes U.S. and Regional Policies","oil prices, Saudi Arabia, Iran, OPEC, Islamic State","Iran's deputy foreign minister warned that falling oil prices will harm the Middle East unless Saudi Arabia intervenes, while also criticizing U.S. actions against Islamic State and regional policies. He highlighted ongoing tensions with Saudi Arabia and expressed concerns over U.S. sanctions impacting nuclear talks."
20150102,"Gold edges higher, but remains below $1,200","Gold Prices Edge Higher but Stay Below $1,200 as Strong Dollar Weighs on Demand","gold, dollar, interest rates, Greece, metals","Gold prices rose slightly but remained under $1,200 due to a strong U.S. dollar and expectations of higher interest rates, while investors also monitored political developments in Greece and movements in other metals."
20150102,Natural gas eases off 2-year lows on cold weather outlook,Natural Gas Futures Rebound as Cold Weather Forecasts Boost Demand,"natural gas, futures, cold weather, demand, storage","Natural gas futures rose 4.83% after forecasts predicted colder January weather, reversing recent declines caused by mild temperatures and high production, with U.S. storage levels falling less than expected."
20150104,Crude oil futures - weekly outlook: January 5 - 9,Oil Prices Plunge to Lowest Levels Since 2009 Amid Supply Glut and Strong Dollar,"oil prices, supply glut, Brent crude, OPEC, US dollar","Oil prices fell to their lowest levels since 2009 as oversupply concerns and a strong US dollar drove Brent and WTI crude down for a sixth consecutive week, with investors watching upcoming US economic data for further market direction."
20150104,Gold / Silver / Copper futures - weekly outlook: January 5 - 9,Gold Futures Edge Higher After Hitting One-Month Low; Dollar and Oil Prices in Focus,"gold futures, US dollar, oil prices, Federal Reserve, metals market","Gold futures rebounded slightly after reaching a one-month low, but still posted a third consecutive weekly loss as a strong US dollar and falling oil prices weighed on metals markets. Investors are watching upcoming US jobs data and Fed meeting minutes for further economic signals."
20150104,Gold prices gain in early Asia on safe haven demand,Gold Prices Edge Higher in Asia as Investors Seek Safe Haven Amid Market Uncertainty,"gold prices, safe haven, Comex, nonfarm payrolls, Federal Reserve","Gold and silver prices rose in early Asian trading as investors sought safe haven assets, while attention turns to upcoming U.S. jobs data and Federal Reserve meeting minutes for further market direction."
20150104,Grain futures - weekly outlook: January 5 - 9,"US Soybean, Corn, and Wheat Futures Slide on Rising Global Supplies and Easing Weather Concerns","soybeans, corn, wheat, futures, USDA","U.S. soybean, corn, and wheat futures fell to multi-week lows due to concerns over rising global supplies and improved weather conditions, with soybeans posting their largest weekly loss in three months and corn and wheat also seeing significant declines. Traders are now awaiting key USDA reports for further market direction."
20150104,Natural gas futures - weekly outlook: January 5 - 9,US Natural Gas Futures Rebound From Two-Year Lows as Colder Weather Boosts Demand,"natural gas, futures, weather, storage, prices","US natural gas futures surged nearly 4% after hitting their lowest level since 2012, as forecasts for colder weather increased demand, though prices still posted a sixth straight weekly decline. Storage levels remain below both last year and the five-year average, while overall 2014 prices fell 31% due to mild winter conditions."
20150104,NYMEX crude oil drops in early Asia as demand outlook worries weigh,Oil Prices Slide to Multi-Year Lows as Supply Glut and Demand Concerns Persist,"crude oil, supply glut, OPEC, Brent, U.S. shale","Crude oil prices fell to their lowest levels since 2009 amid ongoing concerns about oversupply and weak demand, with both Brent and WTI futures posting significant losses after OPEC maintained its production targets. Investors are now watching upcoming U.S. economic data for further market direction."
20150105,Copper futures slump to 1-week low as stronger dollar weighs,Copper Prices Hit One-Week Low as Stronger Dollar Weighs on Commodities,"copper, US dollar, commodities, oil prices, gold","Copper prices fell to a one-week low as a stronger US dollar reduced demand for commodities, while oil prices hit a five-year low and investors awaited key US economic data later in the week."
20150105,"Gold climbs above $1,200 amid euro, oil turmoil",Gold Rises as Investors Seek Safe Haven Amid Oil Slump and Global Economic Worries,"gold, oil prices, economic slowdown, US dollar, eurozone","Gold futures climbed as investors sought safety from plunging oil prices and global economic uncertainty, while the US dollar hit a nine-year high and oil fell to its lowest level since 2009."
20150105,"Gold futures re-approach $1,200 as oil continues decline",Gold Futures Rise as Investors Seek Safe Haven Amid Oil Price Slump and Economic Uncertainty,"gold futures, oil prices, US dollar, economic slowdown, metals trading","Gold futures climbed as investors sought safety from falling oil prices and ongoing global economic concerns, while a strong US dollar limited gains and attention turned to upcoming US economic data. Silver and copper also saw notable movements amid market volatility."
