Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20150101,Iran says Saudi Arabia should move to curb oil price fall,"Saudi Arabia, oil prices, Iran, OPEC, Middle East",Saudi Arabia's Strategic Role Questioned as Oil Prices Hit Multi-Year Low,Iran Criticizes Saudi Arabia Over Oil Prices Amid Regional Tensions,Iran Criticizes Saudi Arabia's Handling of Oil Prices Amid Tensions in the Middle East,"Iran urges Saudi action as oil price slump stirs regional tensions, criticizes US approach to Islamic State"
20150102,"Gold edges higher, but remains below $1,200","gold prices, dollar strength, interest rates, economic recovery, Greece elections",Gold Prices Edge Higher Amid Strong Dollar Pressure and Greece Uncertainty,Precious Metals Mixed as Gold Inches Up and Dollar Strengthens,Gold Prices Show Slight Increase Despite Persistent Dollar Strength and Economic Factors,"Gold edges up but remains under $1,200 amid strong dollar and rate hike expectations, while Greece heads to early elections."
20150102,Natural gas eases off 2-year lows on cold weather outlook,"natural gas, futures, weather, demand, storage",Natural Gas Futures Rise as Cold Weather Boosts Heating Demand,Cold Weather Helps Natural Gas Prices Rebound from Lows,Natural Gas Futures: Price Dynamics and Weather Influence in January,"Natural gas futures rise as cold weather forecasts boost demand, recovering from two-year lows despite predictions of a warmer January compared to last year."
20150104,Crude oil futures - weekly outlook: January 5 - 9,"Oil prices, supply glut, Brent crude, WTI futures, OPEC decision",Brent and WTI Crude Hit Lowest Levels Since 2009 Amid Supply Glut and Strong Dollar,Oil Prices Nosedive to 2009 Levels as Supply Glut Continues,Analysis of Current Brent and WTI Oil Price Downtrend Amid Global Market Factors,"Oil prices dive to 2009 lows due to supply glut and strong dollar, with investors eyeing US economic data."
20150104,Gold / Silver / Copper futures - weekly outlook: January 5 - 9,"gold futures, dollar index, quantitative easing, oil prices, Federal Reserve",Gold Futures Edge Higher Amid Dollar Strength and Oil Tumble,"Gold Futures Rise Despite Weekly Drop as Dollar Soars, Oil Sinks",Gold Futures Increase Slightly as Dollar Soars; Oil Hits New Lows,"Gold futures rise slightly after hitting one-month low, but monthly decline continues as dollar strengthens and oil prices fall"
20150104,Gold prices gain in early Asia on safe haven demand,"gold prices, safe haven demand, Comex, gold futures, nonfarm payrolls",Gold Prices Climb on Safe Haven Demand; Investors Eye Nonfarm Payrolls for Market Direction,Gold Prices Rise Amid Safe Haven Demand and Key Economic Reports,Gold Prices Increase on Safe Haven Demand as Investors Anticipate Key Economic Data,"Gold prices rose slightly on Comex, silver and copper also gained, with focus on U.S. payrolls data and Fed minutes."
20150104,Grain futures - weekly outlook: January 5 - 9,"soybean futures, global supplies, Chicago Mercantile Exchange, crop progress, export sales",Soybean Futures Plunge Amid Growing Global Supplies and Market Concerns,Futures for U.S. Soybeans Dip to Monthly Low as Market Eyes USDA Data,U.S. Soybean Futures Decline to Lowest Monthly Level with Focus on USDA Reports,"U.S. soybean futures fell to a monthly low due to concerns over global supply increases, with significant weekly declines in soybeans, corn, and wheat prices."
20150104,Natural gas futures - weekly outlook: January 5 - 9,"natural gas, futures, weather, demand, storage",Natural Gas Prices Rally Amid Cooler Weather and Demand Forecast,Natural Gas Prices Surge as Cold Weather Boosts Demand,U.S. Natural Gas Futures Rise Due to Changing Weather Patterns and Demand Expectations,"Natural gas futures rose amid cooler U.S. weather patterns, increasing demand despite overall weekly losses."
20150104,NYMEX crude oil drops in early Asia as demand outlook worries weigh,"Crude oil, demand outlook, supply glut, OPEC, shale boom",Crude Oil Prices Fall as Demand Outlook and Supply Glut Weigh Heavily ,Oil Prices Slide to Lowest Levels Since 2009 Amid Supply Concerns,Analysis of Recent Decline in Global Crude Oil Prices and Market Dynamics,Crude oil prices drop amid supply glut and OPEC's decision to maintain production; investors await U.S. payroll report.
20150105,Copper futures slump to 1-week low as stronger dollar weighs,"Copper Prices, Stronger Dollar, Global Economic Outlook, Federal Reserve, Oil Prices  ",Copper Prices Slip as Stronger Dollar and Global Economic Concerns Hit Commodities  ,Market Turmoil: Declining Copper and Oil Prices amid Dollar Surge  ,Copper and Oil Prices Drop Amid Strengthening U.S. Dollar and Global Market Concerns  ,Copper prices drop as stronger dollar and supply concerns hit commodities market
20150105,"Gold climbs above $1,200 amid euro, oil turmoil","Gold futures, oil market, global economic slowdown, quantitative easing, US dollar index",Gold Futures Rise Amid Economic Slowdown Fears and Oil Market Losses,Investors Seek Safety in Gold as Oil Prices Plunge and Economic Fears Loom,Gold and Oil Market Dynamics in the Context of Economic Uncertainty,Gold futures rise amid oil losses and global slowdown fears; US dollar hits nine-year high.
20150105,"Gold futures re-approach $1,200 as oil continues decline","Gold Futures, Oil Market Losses, Global Economic Slowdown, U.S. Dollar, Quantitative Easing",Gold Rises Amid Oil Market Losses and Global Slowdown Worries,Gold Futures Edge Higher as Investors Seek Shelter Amid Global Economic Fears,Gold Futures Gain in Response to Oil Market Downturn and Economic Slowdown Concerns,Gold prices increased as investors turned to safe assets amid oil losses and economic worries
20150105,"Gold prices dip in Asia with euro, Greece political turmoil eyed","gold prices, dollar focus, euro zone, oil market, U.S. nonfarm payrolls",Euro Zone Uncertainty and Dollar Strength Weigh on Gold Prices,Gold Steadies Amid Euro Zone Woes and U.S. Economic Signals,Analyzing Gold Price Stability Amid Global Economic and Political Uncertainty,"Gold prices unsteady amid euro zone turmoil, dollar focus, and weak oil markets."
20150105,Natural gas futures surge 5% on cold weather outlook,"natural gas, chilly weather, price rally, demand increase, U.S. Energy Information Administration",U.S. Natural Gas Prices Surge Amid Chilly Weather and Rising Demand,Chilly Weather Spurs Sharp Rally in U.S. Natural Gas Prices,Chilly Weather and Demand Trends Drive Volatility in U.S. Natural Gas Markets,"U.S. natural gas prices rose sharply on anticipated demand increase due to chilly weather, with more details expected from an upcoming storage report."
20150105,NYMEX crude rebounds in Asia with U.S. stocks data in focus,"crude oil, American Petroleum Institute, supply glut, OPEC, shale boom",Crude Oil Prices Rebound Amid Supply Glut and API Data Ahead,Crude Oil Sees Slight Rebound as Investors Eye API Survey and U.S. Output,Crude Oil Prices Experience Temporary Rebound Prior to API Data Release,Crude oil prices see slight rebound in Asia as investors await upcoming API survey and U.S. economic indicators.
