Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20170101,Crude Oil Futures - Weekly Outlook: January 2 - 6,"Oil Futures, OPEC Deal, Annual Gains, U.S. Production, Global Supply",OPEC Deal Spurs Oil's Biggest Annual Gain Since 2009 Despite Modest Year-End Losses,Oil Futures See Historic Gains Amid OPEC Output Cuts and Rising U.S. Drilling,Impact of OPEC and Non-OPEC Agreements on Annual Oil Futures Performance,Oil futures see record annual gains since 2009 despite skepticism over OPEC cuts and rising U.S. output
20170101,Gold / Silver / Copper futures - weekly outlook: January 2 - 6,"Gold, investors, Federal Reserve, interest rates, Trump administration",Gold prices fall as investors take profits at year's end despite overall gains,Gold prices slip as investors lock in profits at year-end despite overall 2016 rise,Annual Review of Gold Prices Amid Investors' Profit-taking and Federal Reserve Actions,"Gold and other precious metals saw significant yearly gains despite year-end profit-taking by investors, influenced by Federal Reserve interest rate decisions and the incoming Trump administration's fiscal policies."
20170101,NYMEX crude gains in holiday-thinned Asian trade,"U.S. crude oil, Asia, New Year holiday, OPEC, production cuts",U.S. Crude Oil Prices Edge Higher During New Year Holiday in Asia,U.S. Crude Oil Prices Rise as Investors Eye OPEC Production Cuts,Evaluating Adherence to OPEC and Non-OPEC Production Cuts,U.S. crude oil prices rise in Asia as markets close for New Year and investors watch OPEC production cuts
20170102,"Brent, NYMEX gain in Asia after Caixin China PMI supports","Crude oil prices, China manufacturing, geopolitical tensions, OPEC agreement, U.S. shale production",Crude Oil Prices Rise Amid China Manufacturing Surge and Tensions Over North Korea,Crude Oil Prices Climb Further in Asia on Manufacturing Data and Trump's North Korea Tweet,Impacts of Geopolitical Developments and China Manufacturing Data on Crude Oil Prices in Asia,Crude oil prices increased in Asia due to positive China manufacturing data and geopolitical tensions involving Trump and North Korea.
20170102,"Copper jumps in Asia after Caixin data, gold up solidly on geopolitics","Gold, Copper, China, Trump, Manufacturing",Gold Rises and Copper Jumps Amid China Survey and Trump’s North Korea Tweet,China Manufacturing Boosts Metal Gains as Trump Stokes Geopolitical Tensions,Impact of Geopolitical Tensions and Manufacturing Data on Metal Prices Observed,"Gold and copper rise as China manufacturing improves, Trump targets North Korea"
20170102,"NYMEX crude gains in Asia with Caixin PMI survey awaited, Korea noted","Oil prices, China manufacturing, North Korea, OPEC agreement, U.S. stockpiles",Oil Prices Rise in Asia Amid China Manufacturing Survey and OPEC Agreement,"Oil prices gain in Asia, driven by OPEC production cuts and economic data",Crude Oil Prices Increase Following Key Manufacturing and Supply Data,Oil prices rise in Asia as markets eye China's manufacturing data and OPEC complianceences
20170102,Oil markets set to shift focus to output cut compliance in 2017,"OPEC, oil prices, production cuts, U.S. shale, global supply",OPEC's Historic Production Cuts Boost Oil Prices Amid U.S. Shale Resurgence,Oil prices rise as OPEC and non-OPEC producers agree on output cuts,Impact of OPEC and non-OPEC Production Cuts on Global Oil Market Dynamics,OPEC and non-OPEC strike historic output deal; U.S. shale activity rises in response
20170102,Oil prices doubled during 2016,"oil, natural gas, inventories, investment, production cuts","Oil Prices Nearly Double, Natural Gas Markets Stabilize, Investment Opportunities Abound",Oil Prices and Natural Gas Trends Signal Positive Outlook for Investors,Evaluating the Economic Impact of Oil Price Surge and Natural Gas Market Stabilization,"Oil prices nearly double, natural gas markets seek balance, drawing investor interest in 2017"
20170102,Russian oil output stays at record highs in December,"Russian oil production, December average, energy ministry, output cut, OPEC agreement","Russia's December Oil Production Steady at Near 30-Year High, Output Cuts Expected",Steady Russian Oil Production to be Cut in Agreement with OPEC,Analysis of Russian Oil Production Stability: Implications of Agreed Output Reduction with OPEC,"Russian oil output averaged 11.21 million barrels per day in December, remaining unchanged at nearly a 30-year high, with cuts planned for early 2017 as part of an OPEC agreement."
20170103,Carbon emissions drop to lowest level in 25 years,"carbon emissions, mild weather, turbine technology, renewable energy, U.S. power production",U.S. Carbon Emissions Hit Lowest Level in 25 Years Due to Mild Weather and Turbine Technology,"U.S. Carbon Emissions Plummet to Historic Lows, Driven by Renewable Energy Shift",Analysis of U.S. Carbon Emissions Reveals Record Low Levels in First Half of 2016 Due to Mild Weather and Energy Transition,U.S. carbon emissions reached a 25-year low in 2016's first half due to mild weather and a shift to renewable energy.
