Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20190102,Exclusive: Indian state oil firms have stopped taking margin hit on petrol and diesel sales,"fuel retailers, marketing margins, global oil prices, state-owned, crude prices",State-Owned Fuel Retailers Restore Marketing Margins Amid Global Oil Price Drop,State Fuel Retailers Adjust Margins as Global Oil Prices Fall,Adjustment of Marketing Margins by Indian State-Owned Fuel Retailers in Response to Oil Price Decline,"Indian state-owned fuel retailers cease absorbing government-mandated margin cuts as global oil prices fall, affecting consumer pricing."
20190102,Gold Inches up as Investors Turn Away From Riskier Equities,"Gold, equities, economic growth, U.S. tensions, Comex",Gold Prices Climb Amid U.S. Tensions and Economic Concerns,Gold Rises for Fifth Day as Market Uncertainty Grows,Gold Prices Surge Due to Declining Equities and U.S. Political Tensions,"Gold prices rise as U.S.-China trade tensions and weak growth boost safe-haven demand, despite dollar strength."
20190102,"Gold Moves Closer to $1,300 on Weak Factory Data","Gold, PMI, slowdown, futures, Federal Reserve",Gold Futures Shine as Factory Slowdown Sparks Investor Caution,Gold Surges Near 7-Month High Amid Factory Slowdown Concerns,Analysis of Gold Price Dynamics in Response to Global Economic Slowdowns,"Gold prices climbed as weak global factory data spurred investor caution, despite a 2018 decline due to Federal Reserve rate hikes."
20190102,Gold Opens 2019 With Fanfare as Warning Signs Flash on Growth,"safe-haven assets, global slowdown, U.S. government shutdown, gold rally, volatile equity markets",Gold Shines as Safe-Haven Amid U.S. Government Shutdown and Global Economic Slower Growth,Gold Rallies to Six-Month High Amid U.S. Shutdown and Global Equity Volatility,Gold Prices Surge as Economic Uncertainty Boosts Safe-Haven Demand,"Gold rallies to a six-month high amid equity market volatility, a prolonged U.S. government shutdown, and global economic slowdown concerns."
20190102,Here’s What to Expect From Oil in 2019,"volatility, OPEC, shale, geopolitical uncertainty, oil prices",OPEC Policy Shift and Geopolitical Uncertainty Spark Oil Market Volatility,"Volatility, Uncertainty, and Shale Production Shape 2019 Oil Market Outlook","Oil Market Challenges: Supply Dynamics, OPEC Strategy, and Geopolitical Risks","Oil market faces volatility with OPEC policy shifts, shale growth, and geopolitical uncertainties"
20190102,"Oil falls to $53 on economic worries, surging supply","Oil, OPEC, production, slowdown, prices",Oil Prices Struggle as OPEC Supply Cuts Face Rising Output and Economic Slowdown,"OPEC Supply Cuts Clash with Record Oil Production, Economic Concerns",Record Oil Production Amidst Economic Concerns: An Analysis,Oil prices dip amidst record production and economic concerns despite OPEC's production cut efforts.
20190102,Oil Prices Decline as Global Economic Worries Mount,"Oil prices, global slowdown, China data, U.S. production, Brent crude",Oil Prices Fall as China Data Fuels Global Slowdown Concerns,Oil Prices Drop Amid Global Slowdown Fears and Record U.S. Production,Assessment of Oil Market Reactions to China's Economic Data and Rising U.S. Production,"Oil prices declined due to China's economic slowdown, amid concerns over global demand and U.S. production highs."
20190102,"Oil Prices Fall in 2019’s First Trading Day as Supply Jumps, China’s Economy Slows","Oil prices, U.S. output, China data, WTI futures, Brent futures",Oil Prices Plummet Amid Rising U.S. Output and Weak China Economic Data,Oil Prices Drop in Asia as U.S. Output Surges and China Shows Economic Weakness,Oil Prices Decline in Asia Due to Increased U.S. Production and China's Economic Slowdown,"Oil prices fell as U.S. output hit a record high and China's factory activity weakened, signaling potential economic concerns."
20190102,Oil Rises Almost 3% on Saudi Cuts Report; Volatility Could Dominate 2019,"Oil price surge, Saudi Arabia, exports, production cuts, volatility",Oil Prices Rebound 3% on Saudi Export Reductions and Rising Volatility,Saudi Arabia Reduces Oil Exports to Boost Prices,Saudi Arabia's Oil Export Curtailment: Implications for Global Prices,Oil prices rise by nearly 3% as Saudi Arabia cuts shipments to the U.S. and China
20190102,Saudi Arabia may cut February heavy crude prices to Asia,"Saudi Arabia, crude oil prices, Asia demand, refining margins, Saudi Aramco",Saudi Arabia to Slash Crude Oil Prices for Asia Amid Weak Refining Margins,Saudi Arabia Expected to Cut February Oil Prices for Asia Due to Weak Margins,Projected Decline in Saudi Arabian Crude Oil Prices for Asia: An Analysis,Saudi Arabia to cut crude oil prices for Asia in February amid weaker margins and demand dip.
