Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20180101,Crude Oil Prices - Weekly Outlook: January 2 - 5,"oil prices, U.S. crude futures, global inventories, output cuts, EIA data",U.S. Oil Prices Surpass $60 as Inventories Decline and Output Cuts Continue,Crude Prices Hit Two-Year High as U.S. Stockpiles Decrease,Analysis of Recent Price Movements and Production Trends in Global Oil Markets,U.S. crude futures climb above $60 for the first time in over two years due to declining global inventories and robust demand.
20180101,Crude Oil Prices Dip In Early Asia with Iran Protests Closely Watched,"oil prices, US crude, Iran protests, OPEC deal, supply decline",US crude prices dip as market lightens amid holiday and Iran protests,"US crude prices decline on light trading day, investors watch Iran protests",Assessment of Market Lightness: US Crude Prices Decline Amid New Year Holiday and Iran Protests,US crude prices dipped slightly in first trading of new year amid Iran protests and declining supplies
20180101,Gold / Silver / Copper Prices - Weekly Outlook: January 2 - 5,"gold, dollar, Federal Reserve, geopolitical risks, employment report","Gold Prices Surge to Three-Month High as Dollar Weakens, Geopolitical Risks Rise",Precious Metals Shine as Dollar Plummets and Trump Agenda Falters,Impact of Dollar Depreciation on Gold Prices and Future Monetary Policy: An Analysis,Weaker dollar aids gold to three-month high; Fed policy and geopolitical risks in focus
20180101,Gold Dips In Asia In Light New Year Trade With Focus On Fed Minutes,"Gold, Asia, Fed minutes, dollar, 2017",Gold Eases in Asia as Market Awaits Fed Minutes Amid Weak Dollar,Gold Prices Dip Slightly in Light Asian Trade,Slight Decline in Asian Gold Prices as Market Focuses on Federal Reserve Minutes,"Gold prices in Asia eased slightly with Tokyo markets shut, while the focus shifts to the Fed's December meeting minutes."
20180102,Crude Oil Gains In Asia As Geopolitical Tensions Stoke Markets,"crude oil, geopolitical tensions, North Korea, protests, pipeline",Crude Oil Rises Amid Geopolitical Tensions and Protests in Iran,Oil Prices Climb Despite US Shale Production Increase and Pipeline Restarts,Geopolitical Tensions and Market Responses Impact Crude Oil Prices,Crude oil prices rise as geopolitical tensions intensify and global protests continue
20180102,"Crude Oil Prices at Multi-Year Highs, Iran Protests Support","oil prices, Iran unrest, supply disruptions, production cuts, global producers",Iran unrest fuels oil prices to multi-year highs amid production cuts,Oil prices surge amidst Iranian protests and global supply cuts,Factors Influencing Recent Surge in Global Crude Oil Prices: An Analysis,Oil prices hit multi-year highs due to Iran unrest and continued global supply cuts
20180102,Crude Oil Prices Pull Back but Remain Supported,"Iran unrest, crude oil prices, output cuts, U.S. West Texas Intermediate, Brent oil",Iran Unrest and Supply Cuts Keep Crude Oil Prices Near Multi-Year Highs,Crude Oil Prices Near Multi-Year Highs Despite Pullback Amid Iran Unrest,Crude Oil Prices and Geopolitical Unrest: A Study on the Impact of Iran's Political Climate and OPEC Production Cuts,Crude oil prices fall slightly but remain high due to Iran unrest and ongoing OPEC cuts
20180102,Gold Prices Gain In Asia As Geopolitical Tensions Aid Buying,"Gold, Trump, North Korea, prices, futures","Gold Prices Spike as Trump Taunts Kim Jong-un, Geopolitical Tensions Rise","Trump Taunts North Korea, Boosting Gold Prices Amid Rising Geopolitical Tensions",The Impact of Geopolitical Tensions and Weak Dollar on Gold Prices,"Gold prices rise on Trump's North Korea taunt, dollar weakness, and Iran protests"
20180102,Gold Prices Hit Fresh 3-Month Highs,"Gold prices, dollar, Federal Reserve, nonfarm payrolls, metals trading",Gold hits 3-month high as weaker dollar boosts prices,Gold reaches new high; weaker dollar impacts,"Economic momentum weakens dollar, boosts gold prices",Gold prices surge to three-month high on first trading day of 2018 due to weaker dollar
20180102,Gold Prices Remain Supported on Weaker Dollar,"gold prices, U.S. dollar, geopolitical tensions, Federal Reserve, nonfarm payrolls",Geopolitical Tensions and Weak U.S. Dollar Sustain Gold Prices at 3-Month High,Gold Prices Reach Highest Since September Amid Weak Dollar and Geopolitical Tensions,The Impact of U.S. Dollar Weakness and Global Geopolitical Events on Gold Futures,Gold Prices Rise as U.S. Dollar Weakens and Geopolitical Tensions Escalate
